,SetSize,SC,Naive,EffAllPick
0,10000,15.218062162399292,17.924365520477295,28.734180450439453
1,10000,24.97868585586548,27.820671558380127,36.004525661468506
2,10000,16.659095287322998,19.19863724708557,31.767213821411133
3,10000,23.939658164978027,27.361772060394287,35.04582381248474
4,10000,17.554417848587036,20.650876998901367,31.149268627166748
5,12000,33.22482466697693,36.80518412590027,53.40313720703125
6,12000,28.61040997505188,31.93152952194214,46.56613349914551
7,12000,35.80870485305786,40.95206880569458,55.30177855491638
8,12000,30.27727460861206,34.2673704624176,56.069100856781006
9,12000,48.083706855773926,51.82449436187744,50.07522892951965
10,14000,40.471510887145996,47.54502606391907,98.95287156105042
11,14000,55.45874238014221,61.12173080444336,91.63076996803284
12,14000,76.09929513931274,81.00025010108948,73.77367734909058
13,14000,44.907562017440796,49.889883279800415,89.81311798095703
14,14000,52.06085252761841,57.317126989364624,83.63080668449402
15,16000,93.86455225944519,100.91276478767395,334.4966597557068
16,16000,68.55527520179749,76.20742154121399,119.51429796218872
17,16000,88.54999351501465,96.2580189704895,125.90119409561157
18,16000,87.21120381355286,94.6679298877716,123.26229429244995
19,16000,86.27045774459839,93.59411025047302,143.7397723197937
20,18000,96.16052031517029,104.77423548698425,137.90381121635437
21,18000,105.47764110565186,114.0942702293396,154.90211415290833
22,18000,109.14016366004944,119.20883250236511,179.36262607574463
23,18000,105.75071477890015,114.52562689781189,173.16787123680115
24,18000,126.35314583778381,134.84157800674438,219.99917769432068
25,20000,125.86783576011658,138.29446363449097,228.30319499969482
26,20000,147.30782771110535,160.7884795665741,213.92992281913757
27,20000,123.08498311042786,135.08414888381958,184.98756504058838
28,20000,183.42892408370972,195.50166392326355,222.7451994419098
29,20000,135.57818865776062,147.844379901886,219.90944385528564
