,SetSize,SC,Naive,EffAllPick
0,1000,3,12,4
1,1000,3,12,4
2,1000,3,12,4
3,1000,3,12,8
4,1000,2,4,4
5,2000,3,8,4
6,2000,3,8,4
7,2000,3,8,4
8,2000,3,12,4
9,2000,3,8,8
10,3000,3,8,4
11,3000,3,12,12
12,3000,3,12,8
13,3000,3,12,8
14,3000,3,8,4
15,4000,3,12,8
16,4000,3,12,4
17,4000,3,12,4
18,4000,3,12,8
19,4000,3,12,4
20,5000,3,12,4
21,5000,3,12,4
22,5000,3,12,8
23,5000,3,12,4
24,5000,3,12,4
