,SetSize,SC,Naive,AllPick,EffAllPick
0,2000,0.013082742691040039,0.03627276420593262,13.643277645111084,0.05489778518676758
1,2000,0.012704849243164062,0.03591585159301758,13.05624270439148,0.05083799362182617
2,2000,0.013336420059204102,0.03548860549926758,13.448953628540039,0.05088043212890625
3,2000,0.013162374496459961,0.035511016845703125,13.505321979522705,0.1022789478302002
4,2000,0.013369321823120117,0.035686492919921875,13.262041568756104,0.052288055419921875
5,3000,0.019997358322143555,0.05409955978393555,28.583956003189087,0.0753946304321289
6,3000,0.019659996032714844,0.05312228202819824,28.475701093673706,0.07728791236877441
7,3000,0.019896984100341797,0.05353283882141113,27.674041748046875,0.07323169708251953
8,3000,0.020064353942871094,0.05432868003845215,28.563302040100098,0.07346487045288086
9,3000,0.019840002059936523,0.053968191146850586,28.695789098739624,0.07804274559020996
10,4000,0.02708125114440918,0.07297682762145996,48.52486491203308,0.09575819969177246
11,4000,0.02651691436767578,0.07128477096557617,49.649574756622314,0.09678459167480469
12,4000,0.0264739990234375,0.07194685935974121,48.98780965805054,0.09756851196289062
13,4000,0.02630162239074707,0.07247591018676758,49.79624581336975,0.09487104415893555
14,4000,0.026536226272583008,0.07186055183410645,49.37327694892883,0.09671807289123535
15,5000,0.0331268310546875,0.09044384956359863,76.60982155799866,0.11800909042358398
16,5000,0.03281664848327637,0.09042501449584961,76.93677473068237,0.11868858337402344
17,5000,0.033135414123535156,0.0895833969116211,78.05608248710632,0.13694143295288086
18,5000,0.03427720069885254,0.09340763092041016,79.01033091545105,0.11841249465942383
19,5000,0.03261709213256836,0.08941030502319336,77.12868618965149,0.13237738609313965
20,6000,0.04027080535888672,0.10943746566772461,113.6450743675232,0.15749669075012207
21,6000,0.042127370834350586,0.11143088340759277,112.46924185752869,0.14995217323303223
22,6000,0.043723106384277344,0.11597132682800293,113.1128921508789,0.14524364471435547
23,6000,0.04150223731994629,0.11235213279724121,109.24496912956238,0.13927149772644043
24,6000,0.039427757263183594,0.10788393020629883,112.15763640403748,0.13921213150024414
25,7000,0.045957088470458984,0.12725210189819336,148.5100817680359,0.1686244010925293
26,7000,0.04854941368103027,0.13163137435913086,151.6465175151825,0.16544365882873535
27,7000,0.04691791534423828,0.12966632843017578,147.92681169509888,0.1663200855255127
28,7000,0.04870128631591797,0.13288092613220215,150.09888815879822,0.16510772705078125
29,7000,0.0472569465637207,0.1301732063293457,151.0053834915161,0.16483855247497559
30,10000,0.0694880485534668,0.19211244583129883,302.2701539993286,0.24026203155517578
31,10000,0.07079458236694336,0.1915302276611328,306.6526505947113,0.24417948722839355
32,10000,0.07027244567871094,0.1935429573059082,301.54124665260315,0.2630932331085205
33,10000,0.06925415992736816,0.19354820251464844,306.3044786453247,0.23465633392333984
34,10000,0.06852245330810547,0.18965721130371094,301.6924510002136,0.23378562927246094
