,SetSize,SC,Naive,AllPick,EffAllPick
0,200,0.002035379409790039,0.005162715911865234,2.909827947616577,0.009954452514648438
1,200,0.0018734931945800781,0.005211591720581055,2.663745641708374,0.00876307487487793
2,200,0.0018851757049560547,0.005119800567626953,3.0607290267944336,0.007772684097290039
3,200,0.0019996166229248047,0.00529026985168457,3.1519155502319336,0.009605169296264648
4,200,0.0020494461059570312,0.005125522613525391,2.5607988834381104,0.009578466415405273
5,500,0.004382610321044922,0.011826038360595703,36.855507612228394,0.013917922973632812
6,500,0.00419926643371582,0.011316061019897461,36.83044219017029,0.014000415802001953
7,500,0.004373311996459961,0.011234760284423828,38.19231128692627,0.012886762619018555
8,500,0.004372835159301758,0.010877132415771484,35.50100898742676,0.013875007629394531
9,500,0.004835367202758789,0.010911226272583008,33.659196853637695,0.01665019989013672
10,750,0.0065958499908447266,0.016811132431030273,109.17224860191345,0.018895626068115234
11,750,0.005849123001098633,0.01587843894958496,119.57741856575012,0.01774120330810547
12,750,0.0059223175048828125,0.016184568405151367,111.15025234222412,0.019337177276611328
13,750,0.0059566497802734375,0.01614069938659668,132.3009548187256,0.021081209182739258
14,750,0.006143331527709961,0.01586318016052246,111.94115018844604,0.018343687057495117
15,1000,0.008906364440917969,0.02229762077331543,273.91302847862244,0.023619651794433594
16,1000,0.008348941802978516,0.02142047882080078,275.21052598953247,0.023197174072265625
17,1000,0.008334636688232422,0.021467208862304688,277.1650085449219,0.024844884872436523
18,1000,0.008626699447631836,0.02177119255065918,274.4587171077728,0.022765636444091797
19,1000,0.008721351623535156,0.022730588912963867,284.03784704208374,0.02339458465576172
20,1200,0.00979161262512207,0.02650618553161621,460.87818026542664,0.028537273406982422
21,1200,0.010484933853149414,0.025485515594482422,434.5407543182373,0.0258941650390625
22,1200,0.009417295455932617,0.0254824161529541,472.0424256324768,0.026702404022216797
23,1200,0.009903907775878906,0.02565741539001465,453.87650179862976,0.0258023738861084
24,1200,0.010177135467529297,0.0252072811126709,454.3756778240204,0.027170419692993164
