,SetSize,SC,Naive,EffAllPick
0,2000,0.5099244117736816,0.6039154529571533,1.425112009048462
1,2000,0.3608872890472412,0.5225591659545898,0.8104472160339355
2,2000,0.4480452537536621,0.6224541664123535,1.0055649280548096
3,2000,0.39067792892456055,0.5220656394958496,0.8106062412261963
4,2000,0.4961855411529541,0.6651558876037598,1.0158934593200684
5,4000,1.503023386001587,2.1096715927124023,3.699897527694702
6,4000,2.1216399669647217,2.6192996501922607,4.278155088424683
7,4000,2.2223401069641113,2.6486282348632812,4.1528160572052
8,4000,2.44655442237854,2.9795632362365723,4.433094263076782
9,4000,2.0069756507873535,2.4060513973236084,3.870225667953491
10,6000,5.802933931350708,6.643917560577393,11.003955364227295
11,6000,4.816514253616333,5.808677434921265,9.323838949203491
12,6000,4.047502517700195,4.770320892333984,8.439001560211182
13,6000,3.6489439010620117,4.6226582527160645,6.996147871017456
14,6000,3.893282175064087,4.78091835975647,10.822798728942871
15,8000,10.279574155807495,11.870459794998169,18.701701641082764
16,8000,10.367002725601196,12.002606391906738,20.341012001037598
17,8000,11.065233707427979,12.61719012260437,20.198931217193604
18,8000,11.520723819732666,13.129546880722046,22.887614011764526
19,8000,10.930501461029053,12.389106750488281,18.742537021636963
