,SetSize,SC,Naive,AllPick,EffAllPick
0,100,0.0030031204223632812,0.009395837783813477,0.09724187850952148,0.008402347564697266
1,100,0.002716541290283203,0.008185148239135742,0.053220510482788086,0.007962465286254883
2,100,0.003731966018676758,0.009867429733276367,0.47649431228637695,0.009250640869140625
3,100,0.0030035972595214844,0.009173154830932617,0.3748612403869629,0.009706735610961914
4,100,0.004069328308105469,0.009751081466674805,0.24140620231628418,0.009734630584716797
5,150,0.008020401000976562,0.018804073333740234,0.7626757621765137,0.01720905303955078
6,150,0.008141279220581055,0.01855301856994629,0.5214786529541016,0.015633583068847656
7,150,0.006895780563354492,0.017537593841552734,1.0016469955444336,0.018191099166870117
8,150,0.00657343864440918,0.01837897300720215,0.3047001361846924,0.015204668045043945
9,150,0.0072023868560791016,0.017893552780151367,1.538189172744751,0.01662135124206543
10,200,0.012822628021240234,0.030390024185180664,1.9964191913604736,0.02744889259338379
11,200,0.012688875198364258,0.03041696548461914,1.892077922821045,0.026134490966796875
12,200,0.012221813201904297,0.029590845108032227,2.2358016967773438,0.026140928268432617
13,200,0.011755704879760742,0.03075861930847168,3.0704119205474854,0.025986671447753906
14,200,0.01264810562133789,0.031055450439453125,1.0627193450927734,0.02462601661682129
15,250,0.017026185989379883,0.04593491554260254,8.22215986251831,0.03914785385131836
16,250,0.01687479019165039,0.046007633209228516,4.065951108932495,0.04064035415649414
17,250,0.018345355987548828,0.049704790115356445,4.807780981063843,0.04196953773498535
18,250,0.01763749122619629,0.04381537437438965,3.5871379375457764,0.03869891166687012
19,250,0.018113136291503906,0.04610133171081543,7.163158416748047,0.04277944564819336
20,300,0.025256633758544922,0.06387639045715332,7.16150164604187,0.062143802642822266
21,300,0.024225473403930664,0.06244921684265137,7.286546945571899,0.06390595436096191
22,300,0.024712562561035156,0.06531643867492676,22.802647829055786,0.05710601806640625
23,300,0.0249786376953125,0.0650491714477539,14.225710391998291,0.057718753814697266
24,300,0.024610519409179688,0.06016111373901367,10.92074990272522,0.0546574592590332
25,350,0.033411502838134766,0.0875699520111084,27.68572974205017,0.08129096031188965
26,350,0.03781938552856445,0.0818789005279541,17.599406242370605,0.07751774787902832
27,350,0.03559732437133789,0.09069561958312988,37.36648225784302,0.08372044563293457
28,350,0.03312802314758301,0.08353853225708008,15.018259048461914,0.08192086219787598
29,350,0.033884286880493164,0.08870744705200195,16.565128803253174,0.11545801162719727
30,400,0.0469663143157959,0.12081170082092285,121.77069449424744,0.10907721519470215
31,400,0.04748797416687012,0.12444782257080078,66.14644455909729,0.10744047164916992
32,400,0.05410957336425781,0.12085723876953125,57.70513868331909,0.1094520092010498
33,400,0.047742605209350586,0.1339869499206543,73.41641688346863,0.11272859573364258
34,400,0.0465853214263916,0.12405252456665039,64.16806411743164,0.11146831512451172
