,SetSize,SC,Naive,EffAllPick
0,2000,0.36363636363636365,1.0,1.0
1,2000,0.2727272727272727,1.0,1.0
2,2000,0.2,1.0,1.0
3,2000,0.7142857142857143,1.0,1.0
4,2000,0.2,1.0,1.0
5,4000,0.07692307692307693,1.0,1.0
6,4000,0.2727272727272727,1.0,1.0
7,4000,0.1,1.0,1.0
8,4000,0.2727272727272727,1.0,1.0
9,4000,0.36363636363636365,1.0,1.0
10,6000,0.07692307692307693,1.0,1.0
11,6000,0.09090909090909091,1.0,1.0
12,6000,0.1111111111111111,1.0,1.0
13,6000,0.16666666666666666,1.0,1.0
14,6000,0.1111111111111111,1.0,1.0
15,8000,0.23076923076923078,1.0,1.0
16,8000,0.09090909090909091,1.0,1.0
17,8000,0.1,1.0,1.0
18,8000,0.125,1.0,1.0
19,8000,0.07692307692307693,1.0,1.0
