,SetSize,SC,Naive,EffAllPick
0,2000,15,44,24
1,2000,14,44,20
2,2000,12,40,20
3,2000,12,28,24
4,2000,12,40,20
5,4000,14,52,20
6,4000,14,44,16
7,4000,15,40,16
8,4000,14,44,20
9,4000,15,44,16
10,6000,14,52,20
11,6000,14,44,20
12,6000,14,36,16
13,6000,14,48,20
14,6000,12,36,20
15,8000,16,52,20
16,8000,14,44,16
17,8000,14,40,16
18,8000,12,32,16
19,8000,14,52,16
