,SetSize,SC,Naive,AllPick,EffAllPick
0,200,10,21,12,12
1,200,10,15,9,12
2,200,10,18,9,9
3,200,11,18,12,12
4,200,9,12,9,12
5,500,9,9,9,9
6,500,9,18,9,9
7,500,8,12,9,9
8,500,9,12,9,9
9,500,9,15,9,12
10,750,9,12,9,9
11,750,9,15,9,9
12,750,8,9,9,9
13,750,9,12,12,12
14,750,9,12,9,9
15,1000,9,15,9,9
16,1000,8,15,9,9
17,1000,9,15,9,9
18,1000,10,15,9,9
19,1000,11,12,9,9
20,1200,8,15,9,9
21,1200,9,12,9,9
22,1200,8,12,9,9
23,1200,9,9,9,9
24,1200,9,12,9,9
