,SetSize,SC,Naive,EffAllPick
0,1000,0.31293630599975586,0.7888050079345703,0.7483029365539551
1,1000,0.3221735954284668,0.7869465351104736,0.7608425617218018
2,1000,0.3420870304107666,0.7908635139465332,0.7602713108062744
3,1000,0.31916356086730957,0.7858941555023193,0.7542328834533691
4,1000,0.33029985427856445,0.8191308975219727,0.7956678867340088
5,2000,1.9234955310821533,3.8807921409606934,3.7336249351501465
6,2000,1.6307532787322998,3.7701568603515625,3.604011297225952
7,2000,1.6273753643035889,3.777791738510132,3.699012517929077
8,2000,1.5289409160614014,3.7889182567596436,3.5602149963378906
9,2000,1.6563034057617188,3.7777256965637207,4.0516273975372314
10,3000,3.74984073638916,8.508625030517578,8.883097171783447
11,3000,3.804429054260254,8.5902259349823,9.18842601776123
12,3000,3.655505657196045,8.448145389556885,8.768532752990723
13,3000,3.9902350902557373,8.375794649124146,8.887840270996094
14,3000,4.146865606307983,8.468355178833008,9.024502515792847
15,4000,7.567847490310669,15.587944746017456,17.968618869781494
16,4000,6.6759326457977295,16.266371488571167,16.84376621246338
17,4000,6.7602667808532715,16.172958612442017,17.232176065444946
18,4000,7.197803735733032,14.921829223632812,17.857619524002075
19,4000,6.666722536087036,15.129072427749634,16.944995880126953
20,5000,11.028902292251587,25.07520842552185,28.36593794822693
21,5000,10.951282739639282,25.467437505722046,28.525763750076294
22,5000,11.676730871200562,23.782593250274658,28.927526473999023
23,5000,10.634429216384888,24.76041531562805,27.965166330337524
24,5000,10.762267112731934,25.295965433120728,27.91474461555481
