,SetSize,SC,Naive,EffAllPick
0,10000,0.18181818181818182,1.0,1.0
1,10000,0.1111111111111111,1.0,1.0
2,10000,0.09090909090909091,1.0,1.0
3,10000,0.1,1.0,1.0
4,10000,0.1111111111111111,1.0,1.0
5,12000,0.08333333333333333,1.0,1.0
6,12000,0.08333333333333333,1.0,1.0
7,12000,0.08333333333333333,1.0,1.0
8,12000,0.09090909090909091,1.0,1.0
9,12000,0.07692307692307693,1.0,1.0
10,14000,0.07692307692307693,1.0,1.0
11,14000,0.14285714285714285,1.0,1.0
12,14000,0.09090909090909091,1.0,1.0
13,14000,0.15384615384615385,1.0,1.0
14,14000,0.08333333333333333,1.0,1.0
15,16000,0.08333333333333333,1.0,1.0
16,16000,0.08333333333333333,1.0,1.0
17,16000,0.07692307692307693,1.0,1.0
18,16000,0.1111111111111111,1.0,1.0
19,16000,0.09090909090909091,1.0,1.0
20,18000,0.3,1.0,1.0
21,18000,0.09090909090909091,1.0,1.0
22,18000,0.08333333333333333,1.0,1.0
23,18000,0.07692307692307693,1.0,1.0
24,18000,0.09090909090909091,1.0,1.0
25,20000,0.14285714285714285,1.0,1.0
26,20000,0.08333333333333333,1.0,1.0
27,20000,0.1111111111111111,1.0,1.0
28,20000,0.08333333333333333,1.0,1.0
29,20000,0.16666666666666666,1.0,1.0
